,,,,,,,,,,,,,,,,,,,,,,Reload,,,Reload,,,Reload,,,,,,,,,,,,,,,
Incumbent,0,0,151,0,0,0,0,0,0,0,7,0,2,0,136,0,2,0,0,0,0,,0,,,,157,0,0,Tash / Joe,,,,,  ,,,,,0,,0,
New,0,0,208,0,0,0,0,0,0,0,213,0,129,0,218,0,,0,164,0,165,,143,https://www.tallyroom.com.au/aus2022/pendulumfed2022,,,220,0,57,,,,,Ben to Complete,,,,,,55,,55,
Ready to Load,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,7,,,Yes,yes,,,,,,,,,,,,NO,Yes,,NO
Comparison data,,Yes,,n/a,,n/a,,n/a,,n/a,,n/a,,Yes,,Yes,,Yes,,Yes,,,,,,,n/a,n/a,,,,,,,,,,,,No,Yes,,n/a
Name,Name Source,Gender,Gender source,Party,Party Source,Seat,Seat Source,State,State Source,Faction,Faction Source,Union,Union Source,Religion,Religion Source,DOB,DOB Source,Qualification Level,Qualification Level Source,Qualification Field Category,Qualifications Field Source,Prior Career,Predominant Career Source,Margin,Winnability,Potential Winner Source,Incumbent,Year first elected,Year elected source,Researcher,Completed,Verified,Notes,Standardised Predominant Career,,Original Qualification Level,Qualification Level v2,Original Qualifications Field,Original Predominant Career,Predominant Career OLD,Prior Career V2,DO NOT USE Qualifications Field ORIGINAL DATA,Potential Winner
Amy Grantham,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Female,,Liberal Party of Australia,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Adelaide,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,SA,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Unknown,,n/a,n/a,Unknown,,Unknown,,Up to Year 12 or Equiv,https://www.linkedin.com/in/amy-elizabeth-grantham-b3034731/?originalSubdomain=au,n/a,https://www.adelaide.edu.au/pace/executive-education/professional-management-program#credit,Other,https://www.linkedin.com/in/amy-elizabeth-grantham-b3034731/?originalSubdomain=au,-8.2,Unlikely,,N,n/a,n/a,Tash / Joe,TRUE,FALSE,,,,,Year 12 or lower,Management short course,Sales Director/Founder/Owner medical equipment,Sales Director/Founder/Owner medical equipment,Managers,n/a,
Steve Georganas,https://www.aph.gov.au/Senators_and_Members,Male ,,Australian Labor Party,https://www.aph.gov.au/Senators_and_Members,Adelaide,https://www.aph.gov.au/Senators_and_Members,SA,https://www.aph.gov.au/Senators_and_Members,Right - Labour,https://www.smh.com.au/politics/federal/what-are-labor-s-factions-and-who-s-who-in-the-left-and-right-20210210-p5718j.html,Community and Public Sector Union,https://www.aph.gov.au/-/media/03_Senators_and_Members/32_Members/Register/46p/GJ/Georganas_46P.pdf?la=en&hash=08A7F04FB86BC3603FD037295A4619DEB0A3AE1C,Catholic,https://www.openaustralia.org.au/debates/?id=2018-09-13.131.1,13/06/1959,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZY,Up to Year 12 or Equiv,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZY,Management and Commerce,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZY,Political,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZY,8.2,Safe,,Y,2004,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZY,Tash / Joe,TRUE,FALSE,,,,Certificate I,Year 12 or lower,Business Studies,Underwriter / Electoral Officer,Underwriter / Electoral Officer,Political Staffers,Business Studies,Yes
Mary Doyle,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Female,,Australian Labor Party,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Aston,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,VIC,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Unknown,,Unknown,,Unknown,,Unknown,,Up to Year 12 or Equiv,https://www.marydoyle.com.au/about-me - quals inferred ,Creative arts,https://www.marydoyle.com.au/about-me,Other,https://www.marydoyle.com.au/about-me,-10.1,Unlikely,,N,n/a,n/a,Hufflepuff,FALSE,FALSE,,,,,Certificate III/IV,TAFE Performing Arts,Casual telephone operator at the TAB call centre,Casual telephone operator at the TAB call centre,Clerical and administrative workers,TAFE Performing Arts,N
Alan Tudge,https://www.aph.gov.au/Senators_and_Members,Male ,,Liberal Party of Australia,https://www.aph.gov.au/Senators_and_Members,Aston,https://www.aph.gov.au/Senators_and_Members,VIC,https://www.aph.gov.au/Senators_and_Members,National Right - Liberal,https://www.smh.com.au/politics/federal/who-s-who-in-the-liberals-left-right-and-centre-factions-20210303-p577gv.html,n/a,n/a,Other Christian,https://ironfistvelvetglove.com.au/product/alan-tudge/,24/02/1971,https://en.wikipedia.org/wiki/Alan_Tudge,Postgraduate,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M2Y,Society and culture (incl Law),https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M2Y,Political,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=M2Y,10.1,Safe,,Y,2009,https://en.wikipedia.org/wiki/Alan_Tudge,Hufflepuff,FALSE,FALSE,Please replace wiki references,,,Master Degree Level,Postgraduate Degree,MBA,Consultancy,Consultancy,Political Staffers,Law/MBA,Yes
Ben Green,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Male ,,Liberal Party of Australia,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Ballarat,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,VIC,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Unknown,,n/a,n/a,Unknown,,Unknown,,Bachelor Degree,https://searchmyarticle.com/federal-election-2022-liberal-candidate-ben-green-begins-his-campaign-the-courier-service/ - quals inferred,Society and culture (incl Law),https://searchmyarticle.com/federal-election-2022-liberal-candidate-ben-green-begins-his-campaign-the-courier-service/,Lawyers,https://searchmyarticle.com/federal-election-2022-liberal-candidate-ben-green-begins-his-campaign-the-courier-service/,-10.3,Unlikely,,N,n/a,n/a,Hufflepuff,FALSE,FALSE,All personal details hidden,,,,Bachelor Degree,Law,Law,Law,Lawyers,Law,N
Catherine King,https://www.aph.gov.au/Senators_and_Members,Female,,Australian Labor Party,https://www.aph.gov.au/Senators_and_Members,Ballarat,https://www.aph.gov.au/Senators_and_Members,VIC,https://www.aph.gov.au/Senators_and_Members,Left - Labour,https://www.smh.com.au/politics/federal/what-are-labor-s-factions-and-who-s-who-in-the-left-and-right-20210210-p5718j.html,No union,https://www.aph.gov.au/-/media/03_Senators_and_Members/32_Members/Register/46p/KN/KingC_46P.pdf?la=en&hash=BD780D5536485889F8725C792A62271288AB8D8A,Unknown,,02/06/1966,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMR,Postgraduate,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMR,Society and culture (incl Law),https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMR,Other,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMR,10.3,Safe,,Y,2001,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AMR,Trudy,FALSE,FALSE,,,,,Postgraduate Degree,Masters in Public Policy,Politics,Public sector,Managers,Public Policy,Yes
Zhi Soon,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Male ,https://www.pollbludger.net/fed2022/HR.htm?s=Banks,Australian Labor Party,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Banks,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,NSW,https://www.abc.net.au/news/elections/federal/2022/guide/candidates,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,-6.3,Unlikely,,N,n/a,n/a,Ben,FALSE,FALSE,,,,,Unknown,,,Unknown,,Unknown,Yes
David Coleman,https://www.aph.gov.au/Senators_and_Members,Male ,,Liberal Party of Australia,https://www.aph.gov.au/Senators_and_Members,Banks,https://www.aph.gov.au/Senators_and_Members,NSW,https://www.aph.gov.au/Senators_and_Members,Modern/Moderate Liberals,https://www.smh.com.au/politics/federal/who-s-who-in-the-liberals-left-right-and-centre-factions-20210303-p577gv.html,n/a,n/a,Unknown,,05/03/1974,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=241067,Bachelor Degree,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=241067,Society and culture (incl Law),https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=241067,Other,https://en.wikipedia.org/wiki/David_Coleman_(Australian_politician),6.3,Safe,,Y,2013,https://www.pollbludger.net/fed2022/HR.htm?s=Banks,Ben,FALSE,FALSE,,,,Bachelor Degree Level,Bachelor Degree Level,Art and Law,Consulting. managment and directorships,Consulting. managment and directorships,Managers,Art and Law,Yes
Tony Pasin,https://www.aph.gov.au/Senators_and_Members,Male ,,Liberal Party of Australia,https://www.aph.gov.au/Senators_and_Members,Barker,https://www.aph.gov.au/Senators_and_Members,SA,https://www.aph.gov.au/Senators_and_Members,National Right - Liberal,https://www.smh.com.au/politics/federal/who-s-who-in-the-liberals-left-right-and-centre-factions-20210303-p577gv.html,n/a,n/a,Catholic,https://www.tonypasin.com/relationship-between-australia-and-the-philippines/,01/10/1977,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=240756,Bachelor Degree,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=240756,Society and culture (incl Law),https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=240756,Lawyers,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=240756,18.9,Safe,,Y,2013,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=240756,Tash / Joe,TRUE,FALSE,,,,Bachelor Degree Level,Bachelor Degree Level,Law,Law,Law,Lawyers,Law,Yes
Jonathan Pietzsch,https://www.aec.gov.au/election/candidates.htm,Male ,,The Nationals,https://www.aec.gov.au/election/candidates.htm,Barker,https://www.aec.gov.au/election/candidates.htm,SA,https://www.aec.gov.au/election/candidates.htm,Unknown,,n/a,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,-18.9,Unlikely,,N,n/a,,New,,,,,,,,,,,,,
Mark Braes,https://www.aec.gov.au/election/candidates.htm,Male ,,Australian Labor Party,https://www.aec.gov.au/election/candidates.htm,Barker,https://www.aec.gov.au/election/candidates.htm,SA,https://www.aec.gov.au/election/candidates.htm,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,Unknown,,-18.9,Unlikely,,N,n/a,,New,,,,,,,,,,,,,
